#first_sub_datetime;eval;num
2015-02-01 07;1;1
2015-02-01 09;1;2
2015-02-01 10;1;1
2015-02-01 11;1;3
2015-02-01 12;1;1
2015-02-01 13;1;1
2015-02-01 14;1;4
2015-02-01 15;1;3
2015-02-01 16;0;1
2015-02-01 17;1;6
2015-02-01 18;1;8
2015-02-01 19;1;10
2015-02-01 20;1;13
2015-02-01 21;1;9
2015-02-01 22;1;3
2015-02-01 23;1;1
2015-02-02 00;1;2
2015-02-02 01;1;2
2015-02-02 02;1;1
2015-02-02 08;1;1
2015-02-02 10;1;2
2015-02-02 11;.7;1
2015-02-02 11;1;1
2015-02-02 12;.9;20
2015-02-02 12;0;1
2015-02-02 13;1;3
2015-02-02 14;.7;3
2015-02-02 14;0;1
2015-02-02 14;.25;4
2015-02-02 14;.92;5
2015-02-02 15;0;2
2015-02-02 15;.38;4
2015-02-02 15;.99;2
2015-02-02 16;.12;3
2015-02-02 17;.66;1
2015-02-02 18;.93;2
2015-02-02 19;.7;7
2015-02-03 01;0.5;1
2015-02-03 14;0;19
2015-02-03 14;1;1
2015-02-03 15;0;11
2015-02-03 15;0.2;2
2015-02-03 16;0;18
2015-02-03 17;0;16
2015-02-03 18;0;13
2015-02-03 19;0.1;3
2015-02-03 19;0;11
2015-02-03 20;0;9
2015-02-03 21;0;13
2015-02-03 22;0;15
2015-02-03 23;0;19
